fecha,estacion,rio,ph,turbidez_ntu,temperatura_c,oxigeno_disuelto_mg_l,coliformes_fecales_nmp,observaciones
2023-01-01,Estación San Pedro,San Pedro,7.27,6.5,21.1,8.3,68,Muy buena calidad
2023-01-01,Estación Río Calle-Calle,Calle-Calle,7.12,13.5,21.3,8.1,190,Dentro de parámetros
2023-01-01,Estación Río Valdivia,Valdivia,6.81,16.8,22.3,7.6,149,Sedimentos presentes
2023-01-01,Estación Cruces Norte,Cruces,6.67,24.6,22.4,7.1,536,Alerta: contaminación fecal
2023-01-01,Estación Cruces Sur,Cruces,6.34,45,21.7,6.8,900,Alerta: coliformes críticos
2023-01-15,Estación San Pedro,San Pedro,7.45,7.4,20.5,8.2,89,Excelente calidad
2023-01-15,Estación Río Calle-Calle,Calle-Calle,7.01,10.5,20.6,7.7,227,Aceptable
2023-01-15,Estación Río Valdivia,Valdivia,7.07,15.3,20.9,7.9,188,Turbidez moderada
2023-01-15,Estación Cruces Norte,Cruces,6.56,27.0,20.8,7.4,464,Coliformes elevados
2023-01-15,Estación Cruces Sur,Cruces,6.48,43.8,21.4,6.8,785,Alerta máxima
2023-01-30,Estación San Pedro,San Pedro,7.25,6.1,20.2,8.7,70,Óptimo
2023-01-30,Estación Río Calle-Calle,Calle-Calle,7.18,13.2,20.8,7.9,190,Dentro de parámetros
2023-01-30,Estación Río Valdivia,Valdivia,7.02,11.9,19.8,7.9,155,Normal
2023-01-30,Estación Cruces Norte,Cruces,6.71,22.5,19.7,7.2,558,Alerta máxima
2023-01-30,Estación Cruces Sur,Cruces,6.46,42.2,20.3,6.5,748,Alerta máxima
2023-02-15,Estación San Pedro,San Pedro,7.39,6.1,20.7,8.4,58,Óptimo
2023-02-15,Estación Río Calle-Calle,Calle-Calle,6.84,10.5,19.8,7.7,195,Dentro de parámetros
2023-02-15,Estación Río Valdivia,Valdivia,6.91,15.9,19.2,7.8,181,Leve turbidez
2023-02-15,Estación Cruces Norte,Cruces,6.68,29.1,20.4,7.3,436,Precaución: contaminación
2023-02-15,Estación Cruces Sur,Cruces,6.66,42.1,20.6,6.6,713,Alerta: coliformes críticos
2023-03-03,Estación San Pedro,San Pedro,7.39,4.4,14.7,8.5,52,Excelente calidad
2023-03-03,Estación Río Calle-Calle,Calle-Calle,6.92,11.2,15.4,7.9,155,Dentro de parámetros
2023-03-03,Estación Río Valdivia,Valdivia,7.18,10.8,14.4,7.6,129,Aceptable
2023-03-03,Estación Cruces Norte,Cruces,6.98,17.0,16.0,7.5,284,Leve turbidez
2023-03-03,Estación Cruces Sur,Cruces,6.55,28.6,14.3,6.6,624,Alerta: coliformes críticos
2023-03-18,Estación San Pedro,San Pedro,7.24,5.4,17.5,8.3,72,Muy buena calidad
2023-03-18,Estación Río Calle-Calle,Calle-Calle,7.03,12.0,16.4,7.9,167,Dentro de parámetros
2023-03-18,Estación Río Valdivia,Valdivia,6.97,9.1,16.3,7.7,169,Aceptable
2023-03-18,Estación Cruces Norte,Cruces,6.98,21.5,17.5,7.6,441,Coliformes elevados
2023-03-18,Estación Cruces Sur,Cruces,6.39,31.4,16.3,6.6,722,Alerta: contaminación fecal
2023-04-02,Estación San Pedro,San Pedro,7.32,4.3,14.5,8.4,68,Excelente calidad
2023-04-02,Estación Río Calle-Calle,Calle-Calle,7.26,11.6,14.8,8.0,125,Aceptable
2023-04-02,Estación Río Valdivia,Valdivia,7.17,9.3,14.2,7.7,191,Aceptable
2023-04-02,Estación Cruces Norte,Cruces,7.05,18.1,14.4,7.2,441,Nivel preocupante
2023-04-02,Estación Cruces Sur,Cruces,6.69,27.6,15.1,6.7,545,Alerta: contaminación fecal
2023-04-16,Estación San Pedro,San Pedro,7.3,5.2,12.5,8.9,56,Muy buena calidad
2023-04-16,Estación Río Calle-Calle,Calle-Calle,6.96,10.4,11.8,8.1,106,Dentro de parámetros
2023-04-16,Estación Río Valdivia,Valdivia,7.05,12.9,12.6,8.1,130,Dentro de parámetros
2023-04-16,Estación Cruces Norte,Cruces,6.69,15.9,11.8,7.7,275,Leve turbidez
2023-04-16,Estación Cruces Sur,Cruces,6.74,38.7,12.4,6.6,856,Alerta: coliformes críticos
2023-05-01,Estación San Pedro,San Pedro,7.22,5.8,8.9,8.5,44,Excelente calidad
2023-05-01,Estación Río Calle-Calle,Calle-Calle,7.28,9.2,9.1,8.0,139,Dentro de parámetros
2023-05-01,Estación Río Valdivia,Valdivia,7.03,11.1,9.8,7.9,162,Aceptable
2023-05-01,Estación Cruces Norte,Cruces,6.62,23.4,9.5,7.8,445,Precaución: contaminación
2023-05-01,Estación Cruces Sur,Cruces,6.68,26.6,10.3,6.7,534,Alerta: contaminación fecal
2023-05-15,Estación San Pedro,San Pedro,7.49,4.5,8.6,8.8,65,Óptimo
2023-05-15,Estación Río Calle-Calle,Calle-Calle,7.24,9.7,7.8,8.2,143,Dentro de parámetros
2023-05-15,Estación Río Valdivia,Valdivia,7.07,9.3,8.6,7.6,176,Aceptable
2023-05-15,Estación Cruces Norte,Cruces,6.82,18.3,9.4,7.5,391,Coliformes elevados
2023-05-15,Estación Cruces Sur,Cruces,6.25,34.4,9.3,7.0,569,Alerta: coliformes críticos
2023-05-30,Estación San Pedro,San Pedro,7.24,5.4,9.3,8.4,55,Óptimo
2023-05-30,Estación Río Calle-Calle,Calle-Calle,7.04,9.3,9.7,8.0,169,Dentro de parámetros
2023-05-30,Estación Río Valdivia,Valdivia,7.08,9.8,10.5,8.0,184,Dentro de parámetros
2023-05-30,Estación Cruces Norte,Cruces,6.81,22.1,9.9,7.7,438,Precaución: contaminación
2023-05-30,Estación Cruces Sur,Cruces,6.79,32.5,9.4,7.1,607,Alerta: contaminación fecal
2023-06-13,Estación San Pedro,San Pedro,7.4,3.1,7.7,9.0,40,Muy buena calidad
2023-06-13,Estación Río Calle-Calle,Calle-Calle,7.14,6.4,8.3,8.2,98,Muy buena calidad
2023-06-13,Estación Río Valdivia,Valdivia,6.96,7.5,8.3,7.9,91,Óptimo
2023-06-13,Estación Cruces Norte,Cruces,6.8,13.5,8.6,7.5,266,Normal
2023-06-13,Estación Cruces Sur,Cruces,6.81,23.4,7.5,7.1,555,Alerta máxima
2023-06-28,Estación San Pedro,San Pedro,7.35,3.8,8.6,9.0,50,Muy buena calidad
2023-06-28,Estación Río Calle-Calle,Calle-Calle,7.05,5.8,8.5,8.4,100,Aceptable
2023-06-28,Estación Río Valdivia,Valdivia,7.11,8.3,9.1,8.1,114,Normal
2023-06-28,Estación Cruces Norte,Cruces,7.12,14.1,8.1,7.4,218,Normal
2023-06-28,Estación Cruces Sur,Cruces,6.52,23.8,8.2,7.2,363,Nivel preocupante
2023-07-12,Estación San Pedro,San Pedro,7.49,4.3,5.6,9.0,40,Muy buena calidad
2023-07-12,Estación Río Calle-Calle,Calle-Calle,7.04,6.6,5.4,8.2,108,Normal
2023-07-12,Estación Río Valdivia,Valdivia,7.02,7.8,6.5,7.9,85,Muy buena calidad
2023-07-12,Estación Cruces Norte,Cruces,6.73,13.6,6.1,7.4,234,Dentro de parámetros
2023-07-12,Estación Cruces Sur,Cruces,6.42,25.5,6.5,7.2,526,Alerta: coliformes críticos
2023-07-26,Estación San Pedro,San Pedro,7.41,4.3,5.4,8.6,40,Muy buena calidad
2023-07-26,Estación Río Calle-Calle,Calle-Calle,7.3,5.9,5,8.3,106,Aceptable
2023-07-26,Estación Río Valdivia,Valdivia,7.11,7.4,5.8,8.2,137,Aceptable
2023-07-26,Estación Cruces Norte,Cruces,6.92,11.1,5,7.8,205,Normal
2023-07-26,Estación Cruces Sur,Cruces,6.52,19.6,5.9,6.8,364,Nivel preocupante
2023-08-11,Estación San Pedro,San Pedro,7.5,4.4,8.4,8.6,40,Muy buena calidad
2023-08-11,Estación Río Calle-Calle,Calle-Calle,7.2,7.5,8.2,8.4,110,Dentro de parámetros
2023-08-11,Estación Río Valdivia,Valdivia,6.95,8.8,7.8,7.8,135,Normal
2023-08-11,Estación Cruces Norte,Cruces,7.0,15.7,7.7,7.9,242,Leve turbidez
2023-08-11,Estación Cruces Sur,Cruces,6.73,20.8,7.0,7.1,540,Alerta máxima
2023-08-26,Estación San Pedro,San Pedro,7.35,4.2,6.9,8.5,53,Óptimo
2023-08-26,Estación Río Calle-Calle,Calle-Calle,6.99,8.0,7.3,8.0,84,Aceptable
2023-08-26,Estación Río Valdivia,Valdivia,7.16,7.3,8.0,7.9,92,Muy buena calidad
2023-08-26,Estación Cruces Norte,Cruces,7.12,15.4,7.8,7.4,260,Sedimentos presentes
2023-08-26,Estación Cruces Sur,Cruces,6.55,23.3,8.2,6.9,497,Nivel preocupante
2023-09-09,Estación San Pedro,San Pedro,7.26,5.6,9.3,8.4,44,Excelente calidad
2023-09-09,Estación Río Calle-Calle,Calle-Calle,7.03,9.2,9.6,8.3,146,Dentro de parámetros
2023-09-09,Estación Río Valdivia,Valdivia,7.14,11.6,10.7,7.8,128,Aceptable
2023-09-09,Estación Cruces Norte,Cruces,6.94,16.8,10.2,7.5,352,Nivel preocupante
2023-09-09,Estación Cruces Sur,Cruces,6.23,39.5,10.7,6.8,592,Alerta: contaminación fecal
2023-09-23,Estación San Pedro,San Pedro,7.25,5.6,9.5,8.4,47,Excelente calidad
2023-09-23,Estación Río Calle-Calle,Calle-Calle,7.25,9.1,9.7,8.3,103,Aceptable
2023-09-23,Estación Río Valdivia,Valdivia,7.01,11.9,9.5,8.0,176,Normal
2023-09-23,Estación Cruces Norte,Cruces,7.06,18.3,8.9,7.6,335,Coliformes elevados
2023-09-23,Estación Cruces Sur,Cruces,6.74,35.5,10.1,6.5,833,Alerta máxima
2023-10-09,Estación San Pedro,San Pedro,7.32,4.4,15.5,8.7,51,Óptimo
2023-10-09,Estación Río Calle-Calle,Calle-Calle,7.3,8.7,15.3,7.8,148,Dentro de parámetros
2023-10-09,Estación Río Valdivia,Valdivia,7.15,10.1,15.1,8.2,204,Aceptable
2023-10-09,Estación Cruces Norte,Cruces,6.6,17.3,14.1,7.7,368,Nivel preocupante
2023-10-09,Estación Cruces Sur,Cruces,6.22,27.6,15.8,6.7,539,Alerta: contaminación fecal
2023-10-25,Estación San Pedro,San Pedro,7.38,6.2,11.3,8.6,62,Óptimo
2023-10-25,Estación Río Calle-Calle,Calle-Calle,7.05,9.9,12.5,8.4,170,Dentro de parámetros
2023-10-25,Estación Río Valdivia,Valdivia,6.89,9.0,12.8,7.8,164,Dentro de parámetros
2023-10-25,Estación Cruces Norte,Cruces,7.0,22.3,12.8,7.5,416,Precaución: contaminación
2023-10-25,Estación Cruces Sur,Cruces,6.62,37.4,12.6,6.6,786,Alerta máxima
2023-11-08,Estación San Pedro,San Pedro,7.43,5.1,14.5,8.5,55,Excelente calidad
2023-11-08,Estación Río Calle-Calle,Calle-Calle,6.95,9.5,15.8,7.8,112,Normal
2023-11-08,Estación Río Valdivia,Valdivia,7.1,9.9,16.1,7.6,151,Normal
2023-11-08,Estación Cruces Norte,Cruces,6.87,16.5,14.5,7.3,257,Turbidez moderada
2023-11-08,Estación Cruces Sur,Cruces,6.67,30.8,15.1,6.9,763,Alerta: coliformes críticos
2023-11-22,Estación San Pedro,San Pedro,7.31,5.6,16.6,8.8,48,Excelente calidad
2023-11-22,Estación Río Calle-Calle,Calle-Calle,6.91,8.6,16.4,8.3,172,Normal
2023-11-22,Estación Río Valdivia,Valdivia,7.02,9.1,16.6,7.6,160,Normal
2023-11-22,Estación Cruces Norte,Cruces,6.76,22.8,16.2,7.5,305,Nivel preocupante
2023-11-22,Estación Cruces Sur,Cruces,6.31,37.8,16.2,7.0,697,Alerta: contaminación fecal
2023-12-08,Estación San Pedro,San Pedro,7.17,7.7,19.1,8.2,54,Óptimo
2023-12-08,Estación Río Calle-Calle,Calle-Calle,6.94,12.0,20.0,8.0,161,Normal
2023-12-08,Estación Río Valdivia,Valdivia,6.92,16.6,20.5,8.0,176,Sedimentos presentes
2023-12-08,Estación Cruces Norte,Cruces,6.77,26.5,20.9,7.4,456,Nivel preocupante
2023-12-08,Estación Cruces Sur,Cruces,6.52,38.1,20.8,6.8,620,Alerta: contaminación fecal
2023-12-24,Estación San Pedro,San Pedro,7.4,6.5,20.3,8.6,92,Muy buena calidad
2023-12-24,Estación Río Calle-Calle,Calle-Calle,7.0,12.7,19.4,8.2,219,Aceptable
2023-12-24,Estación Río Valdivia,Valdivia,7.03,12.5,20.7,7.7,159,Normal
2023-12-24,Estación Cruces Norte,Cruces,6.78,25.5,19.5,7.2,446,Precaución: contaminación
2023-12-24,Estación Cruces Sur,Cruces,6.44,45,20.7,6.4,690,Alerta: coliformes críticos
2024-01-08,Estación San Pedro,San Pedro,7.44,6.8,18.2,8.4,94,Muy buena calidad
2024-01-08,Estación Río Calle-Calle,Calle-Calle,7.16,10.8,18.2,8.0,231,Normal
2024-01-08,Estación Río Valdivia,Valdivia,7.0,12.0,18.7,7.5,147,Dentro de parámetros
2024-01-08,Estación Cruces Norte,Cruces,7.02,23.5,18.0,7.6,436,Coliformes elevados
2024-01-08,Estación Cruces Sur,Cruces,6.3,45,18.2,6.9,900,Alerta: contaminación fecal
2024-01-24,Estación San Pedro,San Pedro,7.29,6.0,19.4,8.5,85,Óptimo
2024-01-24,Estación Río Calle-Calle,Calle-Calle,7.12,11.6,20.3,7.9,151,Dentro de parámetros
2024-01-24,Estación Río Valdivia,Valdivia,6.98,14.2,20.9,7.6,150,Dentro de parámetros
2024-01-24,Estación Cruces Norte,Cruces,6.99,23.0,20.2,7.3,379,Coliformes elevados
2024-01-24,Estación Cruces Sur,Cruces,6.71,35.0,20.6,6.7,785,Alerta: contaminación fecal
2024-02-08,Estación San Pedro,San Pedro,7.39,6.5,17.5,8.5,68,Excelente calidad
2024-02-08,Estación Río Calle-Calle,Calle-Calle,6.94,11.7,16.7,8.2,230,Dentro de parámetros
2024-02-08,Estación Río Valdivia,Valdivia,6.99,13.4,18.0,8.0,204,Dentro de parámetros
2024-02-08,Estación Cruces Norte,Cruces,6.67,22.0,17.4,7.5,451,Precaución: contaminación
2024-02-08,Estación Cruces Sur,Cruces,6.19,44.4,17.0,6.8,746,Alerta: contaminación fecal
2024-02-22,Estación San Pedro,San Pedro,7.22,7.1,17.1,8.2,66,Óptimo
2024-02-22,Estación Río Calle-Calle,Calle-Calle,7.11,15.0,18.0,7.9,161,Normal
2024-02-22,Estación Río Valdivia,Valdivia,6.96,14.1,17.8,7.6,220,Dentro de parámetros
2024-02-22,Estación Cruces Norte,Cruces,6.58,26.9,17.2,7.6,586,Alerta máxima
2024-02-22,Estación Cruces Sur,Cruces,6.39,34.5,18.1,6.5,758,Alerta: coliformes críticos
2024-03-08,Estación San Pedro,San Pedro,7.29,4.5,15.1,8.3,54,Excelente calidad
2024-03-08,Estación Río Calle-Calle,Calle-Calle,6.99,11.9,13.8,8.3,118,Dentro de parámetros
2024-03-08,Estación Río Valdivia,Valdivia,7.05,11.8,15.2,7.7,132,Normal
